path,source_root,size_bytes,size_mb,decision_class,decision_reason
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/3. final/8. user_to_other_publication_similarity_openai.csv,shared_data_source,586546745,586.55,D,too large for git; store remote object storage or persistent disk
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/abstract_embeddings_index.json,shared_data_source,492426334,492.43,D,too large for git; store remote object storage or persistent disk
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/backend/.venv/lib/python3.13/site-packages/torch/lib/libtorch_cpu.dylib,app_source,214082912,214.08,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/.venv/lib/python3.13/site-packages/torch/lib/libtorch_cpu.dylib,pipeline_source,214082912,214.08,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/torch/lib/libtorch_cpu.dylib,pipeline_source,214082912,214.08,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/mpnet/abstract_embeddings_index.json,shared_data_source,129153949,129.15,D,too large for git; store remote object storage or persistent disk
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/backend/.venv/lib/python3.13/site-packages/llvmlite/binding/libllvmlite.dylib,app_source,116292496,116.29,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/llvmlite/binding/libllvmlite.dylib,pipeline_source,116292496,116.29,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/4. embeddings/v3/mpnet/8.user_to_other_publication_similarity_mpnet.csv,pipeline_source,46922873,46.92,C,large runtime artifact; keep on persistent disk
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/4. embeddings/v3/openai/8.user_to_other_publication_similarity_openai.csv,pipeline_source,46340951,46.34,C,large runtime artifact; keep on persistent disk
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/grpc/_cython/cygrpc.cpython-313-darwin.so,pipeline_source,37522784,37.52,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/3. final/profiles_publications_full_merged_abstract_cleaned_with_ids_and_llm.csv,shared_data_source,36311558,36.31,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/3. final/profiles_publications_full_merged_abstract_cleaned.csv,shared_data_source,35659470,35.66,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/3. final/profiles_publications_full_merged_abstract_cleaning.csv,shared_data_source,29912533,29.91,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/backend/.venv/lib/python3.13/site-packages/torch/lib/libtorch_python.dylib,app_source,29722488,29.72,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/.venv/lib/python3.13/site-packages/torch/lib/libtorch_python.dylib,pipeline_source,29722488,29.72,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/torch/lib/libtorch_python.dylib,pipeline_source,29722488,29.72,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/3. final/3. profiles_publications_full_merged.csv,shared_data_source,28469242,28.47,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/3. final/profiles_publications_with_abstract_wordcounts.csv,shared_data_source,27833515,27.83,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/3. profiles_publications_full_merged.csv,shared_data_source,27762539,27.76,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/1. raw/0. profiles/profiles_publications_full_merged.csv,shared_data_source,27762539,27.76,B,raw source/cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/v3/_batch_runs/authors_title/output.jsonl,pipeline_source,27726460,27.73,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/v3/_batch_runs/authors_title/input.jsonl,pipeline_source,25839070,25.84,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/3. final/Embeddings_flat/openai_abstracts_embeddings.csv,shared_data_source,22653352,22.65,C,large runtime artifact; keep on persistent disk
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/3. final/Embeddings_flat/openai_one_line_summary_embeddings.csv,shared_data_source,22532357,22.53,C,large runtime artifact; keep on persistent disk
